"","R","SPT","SEX","AGE","MARITAL","RACE1","RACE2","RACE3","EDU1","EDU2","EDU3","EDU4","INCOME","EXPEND","NWORTH"
"231",1,0,1,-0.383584997564539,3,1,0,0,0,0,1,0,2.30258509299405,1.54432856173767,-9.21034037197618
"232",1,1,2,1.31641500243546,2,0,0,1,1,0,0,0,1.82527483523254,-0.388460509292341,-9.21034037197618
"234",1,1,2,-0.983584997564539,1,1,0,0,0,1,0,0,1.16315080980568,-1.68017335488775,-9.21034037197618
"236",1,1,2,-0.983584997564539,3,1,0,0,0,0,1,0,0.0198026272961797,-1.15714224146128,-9.21034037197618
"238",1,1,1,-2.18358499756454,5,1,0,0,0,1,0,0,-0.293834291936979,-1.86846774231272,-9.21034037197618
"240",1,0,1,0.316415002435461,3,1,0,0,0,0,1,0,2.30757263450508,-0.643500240670532,-9.21034037197618
"242",1,1,2,0.316415002435461,3,1,0,0,0,0,1,0,1.25041736256854,-0.292560619902888,-9.21034037197618
"244",1,0,2,-0.183584997564539,3,1,0,0,0,0,0,1,1.7227665977411,-0.925058229300678,-9.21034037197618
"245",1,1,1,-1.58358499756454,1,1,0,0,0,0,1,0,1.53697474070038,-1.55262444974963,-9.21034037197618
"246",1,1,2,0.91641500243546,4,0,1,0,0,1,0,0,0.159905517509622,-1.34002164878921,-9.21034037197618
"248",1,1,2,0.71641500243546,2,0,1,0,1,0,0,0,-0.676093425994118,-1.38359133758177,-9.21034037197618
"249",1,0,2,-1.28358499756454,1,1,0,0,0,0,0,1,2.10413415427021,-1.29996375913832,-9.21034037197618
"252",1,0,1,0.41641500243546,1,0,1,0,0,0,0,1,1.87701931317888,0.182857521472556,-9.21034037197618
"253",1,1,1,-0.0835849975645395,3,1,0,0,0,0,1,0,1.6491200575728,-1.04251553986176,-9.21034037197618
"254",1,1,2,1.11641500243546,5,0,1,0,0,1,0,0,-0.885276678344986,-1.36359397559911,-9.21034037197618
"255",1,1,1,-2.18358499756454,1,1,0,0,0,0,0,1,1.46209732453539,-0.927183164615979,-9.21034037197618
"256",1,0,1,-0.383584997564539,5,1,0,0,0,0,0,1,1.38629436111989,-0.293163736021019,-9.21034037197618
"258",1,0,1,0.91641500243546,1,1,0,0,0,0,0,1,2.26176309847379,-0.0388274536899215,-9.21034037197618
"260",1,1,1,-0.0835849975645395,1,1,0,0,0,0,1,0,1.54543258245819,-0.10012424886258,-9.21034037197618
"262",1,0,2,1.01641500243546,2,1,0,0,0,1,0,0,1.56861591791385,-0.700440371338622,-9.21034037197618
"263",1,0,1,-1.48358499756454,1,1,0,0,0,0,0,1,2.27297088921786,0.541975392758207,-9.21034037197618
"264",1,1,1,-1.78358499756454,5,1,0,0,0,0,0,1,1.25276296849537,-1.99326384543878,-9.21034037197618
"265",1,1,2,-1.48358499756454,1,0,1,0,0,1,0,0,2.24070968927596,-0.00521356705288743,-9.21034037197618
"266",1,1,1,0.71641500243546,3,1,0,0,0,1,0,0,1.16798286659278,-1.85491226292953,-9.21034037197618
"267",1,0,2,-0.883584997564539,3,0,1,0,0,0,1,0,0.940007258491471,-1.83498015079925,-9.21034037197618
"268",1,1,2,1.21641500243546,3,1,0,0,1,0,0,0,0.302693830072219,-1.66345422666683,-9.21034037197618
"269",1,0,1,0.516415002435461,1,0,1,0,1,0,0,0,1.34905967450966,-0.857314526773858,-9.21034037197618
"270",1,1,1,-1.98358499756454,5,1,0,0,0,0,0,1,1.19392246847243,0.41941184532112,-9.21034037197618
"271",1,1,1,-0.983584997564539,3,1,0,0,0,0,1,0,0.435282776517347,-2.133996317341,-9.21034037197618
"274",1,1,2,-2.08358499756454,5,0,0,1,0,0,1,0,1.30138985402945,-0.337082422746908,-9.21034037197618
"276",1,0,2,-1.48358499756454,5,0,1,0,1,0,0,0,-0.183922838160928,-1.35376262321085,-9.21034037197618
"277",1,0,1,-1.28358499756454,1,1,0,0,0,1,0,0,1.6094379124341,0.00132412296213132,-9.21034037197618
